Price,LivingArea,Bathrooms,Bedrooms,LotSize,Age,Fireplace
16858,1629,1,3,0.76,180,0
26049,1344,2,3,0.92,13,0
26130,822,1,2,0.56,173,0
31113,1540,1,2,0.04,115,0
40932,1320,1,3,0.17,90,0
44674,1214,1,3,0.14,103,0
44873,882,1.5,3,0.18,71,0
45004,960,1,2,0.54,11,0
45904,1328,1,4,0.19,103,0
47630,1235,1,3,0.32,84,1
49211,800,1,2,0.46,55,0
49564,1363,2,3,2.4,39,0
50483,743,1,3,0.05,105,0
50709,960,1.5,2,0.01,12,0
51183,1144,1,3,0.64,15,0
52360,1310,1.5,4,0.24,120,0
54210,792,1,2,0.4,55,0
55817,1688,2,5,0.17,119,0
55851,990,1.5,2,0.08,75,0
57678,924,1,1,0.17,104,0
59003,3285,2,5,0.42,233,0
59043,1668,1.5,4,0.06,115,0
60238,1664,1.5,3,0.21,76,0
60309,2039,1,3,0.24,55,0
62105,1228,1,2,0.31,53,0
62938,1064,1,3,0.13,95,0
63101,1628,1,2,0.06,124,0
63852,1536,1.5,4,0.46,30,1
64174,672,1,2,0.36,46,0
64552,1298,1,3,0.24,106,0
65325,813,1,2,0.39,68,0
65550,1196,1.5,4,0.15,56,0
65615,924,1,3,3.17,39,0
66027,1653,2,3,0.48,79,0
67951,1040,1,2,0.17,19,0
68353,1216,1,2,0.61,101,0
69152,986,1,3,0.06,133,0
69463,1170,1,2,0.09,110,0
69814,840,1,1,0.18,57,1
69876,976,2,2,0.34,21,0
71647,2087,2.5,3,0.56,0,1
71904,957,1,3,0.19,45,0
72189,1594,1.5,4,0.21,81,0
73892,864,1.5,3,0.07,114,0
74421,1928,2,4,0.27,134,1
74422,1708,1,2,0.87,39,1
74422,2708,2,4,1.2,21,0
75094,728,1,2,0.06,22,0
75399,988,1,2,0.15,20,0
75606,912,1.5,2,0.15,19,0
75862,995,1,3,0.38,47,0
75975,1300,2,3,0.49,227,1
76342,896,1,2,0,48,0
77547,908,1,2,0.16,19,0
77650,1620,1.5,4,0.04,99,0
77921,1704,1,2,2.5,177,0
78191,1080,2,3,1,15,0
79116,908,1,2,0.15,19,0
79170,1536,2,3,0.15,105,0
79567,908,1,2,0.16,19,0
79893,2634,2.5,4,0.24,83,0
79982,1572,1.5,4,0.39,41,0
80130,1225,1,3,0.24,48,1
80248,1600,1.5,3,0.36,16,0
80540,1380,1.5,2,0.13,0,0
81580,1336,1.5,2,0.35,20,1
81762,1008,1,3,0.33,41,0
81762,912,1.5,2,0.15,19,0
82019,1518,1,3,0.04,130,0
82556,1480,1.5,3,0.1,14,1
83617,1272,1.5,4,0.19,115,0
84291,924,1,3,0.91,15,0
84291,924,1,3,0.91,15,0
84291,1480,2.5,2,0.07,14,1
84333,2043,1.5,4,0.32,94,1
85560,2068,1,4,1,104,1
85585,912,1.5,2,0.16,20,0
85939,1527,2,2,0.31,17,1
86651,1140,1.5,2,0.08,18,0
87588,1392,1,2,0.24,17,0
87852,1270,1,3,0.04,110,0
87852,976,2,2,0.31,23,0
88092,3944,1,4,1.64,185,1
88092,1572,1.5,4,0.06,50,1
88092,929,1.5,2,0.18,22,0
88207,1480,1.5,3,0.07,14,0
88770,1000,1,3,0.52,91,0
89232,960,1,3,1,51,0
89306,1480,1.5,3,0.21,19,0
89432,1132,1,2,0.16,25,1
89893,960,1,2,0.36,48,0
89893,1480,2.5,2,0.29,14,1
89955,1216,1,3,0.21,129,0
90354,912,1.5,2,0.16,16,0
90446,1256,1.5,3,0.21,19,0
90446,1200,2,3,0.56,10,0
90678,957,1,3,0.18,49,0
91386,1120,1,3,0.11,14,0
91672,1392,1.5,3,0.26,21,0
91672,929,1.5,2,0.17,21,0
91792,908,1,2,0.16,17,0
92436,1300,1,3,1.08,10,0
92519,1368,1,3,0.38,34,0
92519,1281,2.5,2,0.02,19,1
92852,912,1.5,2,0.15,20,0
92932,988,2,2,0.15,19,0
93174,1022,1,3,0.44,55,0
93174,784,1,1,0.16,44,0
93200,924,1,2,0.31,19,1
93773,1324,1.5,3,0.19,5,0
93815,1184,1.5,2,0.15,19,0
93846,1385,1.5,2,0.15,17,0
93895,960,1,3,0.26,48,0
93895,1480,1.5,3,0.22,17,1
94064,912,1,3,0.35,37,0
94064,1480,2.5,2,0.18,16,1
94405,1375,1.5,2,0.09,22,0
94486,1150,1,3,0.34,45,0
94584,924,1,2,0.17,19,1
94667,912,1,3,0.51,34,0
94774,1240,1.5,2,0.15,17,0
94868,1380,1,4,0.89,105,0
95260,1480,1.5,3,0.07,15,1
95708,912,1.5,2,0.16,20,0
95708,912,1.5,2,0.16,20,0
96004,912,1.5,2,0.16,18,0
96934,1480,1.5,3,0.08,19,0
96958,1244,1.5,4,0.69,53,0
97476,1219,1.5,2,0.01,19,0
97682,1548,1.5,3,0.31,85,0
97739,1276,2,2,0.17,26,1
97783,1061,1,3,0.92,48,1
98256,1480,2.5,2,0.07,16,1
98333,912,1.5,2,0.16,18,0
98389,1184,1.5,2,0.15,18,0
98389,1184,1.5,2,0.15,18,0
98423,1355,1,3,0.47,60,0
98632,1406,1.5,2,0.16,19,0
98652,1158,1.5,3,0.86,14,0
98790,1480,1.5,3,0.08,16,1
99045,937,1,2,0.13,19,0
99082,924,1,2,0.15,20,1
99311,690,1,3,0.04,114,0
99311,1281,2.5,2,0.01,18,1
99463,912,1,3,0.26,31,0
99491,1064,1,3,0.31,45,0
99574,1628,1.5,2,0.32,30,1
99903,1360,1,2,0.44,79,0
100003,1184,2,3,0.16,19,0
100306,1314,1.5,2,0.1,19,0
100397,912,1.5,2,0.16,18,0
100839,1480,1.5,2,0.12,17,0
100938,1034,1.5,3,0.16,15,0
100967,988,1,2,0.15,20,0
101193,1375,1.5,2,0.07,21,1
101227,1754,1,4,0.1,110,0
101230,1032,1,2,0.12,23,1
101230,1040,1,3,0.47,12,0
101230,1281,1,2,0.19,8,0
101258,1232,1,3,0.72,43,1
101375,1820,1.5,4,0.54,35,0
101375,960,1,3,0.46,19,0
101418,1852,2,4,0.92,37,1
101708,1492,2.5,3,0.17,16,0
101997,1214,1.5,2,0.01,17,0
102003,1184,1.5,2,0.16,20,0
102068,1172,2.5,3,0.85,73,1
102086,1302,1.5,2,0.06,16,0
102287,882,1.5,3,0.18,71,0
102405,1680,2,3,0.12,15,0
102530,1202,1.5,2,0.15,18,0
102626,1227,1,3,0.24,115,1
102801,1184,2,3,0.16,18,0
102806,1248,1,3,0.96,46,1
102806,1168,2,3,0.14,21,0
102806,1480,1.5,3,0.08,15,1
103256,1492,1.5,3,0.15,16,0
103258,1344,1.5,3,0.64,16,0
103262,1176,1.5,2,0.22,31,0
103408,1034,1.5,2,0.21,14,1
103508,1560,1.5,3,0.88,16,1
103633,1314,1.5,2,0.21,21,0
103672,1476,2,3,0.66,6,0
103677,1375,1.5,2,0.08,21,1
103861,1700,1,3,0.46,25,1
103958,1486,1.5,3,0.1,16,0
104084,1480,1.5,3,0.14,19,0
104084,1302,1.5,2,0.05,17,1
104084,1170,2,2,2.5,10,0
104267,1056,1,3,0.44,47,0
104328,898,1,2,0.61,57,1
104339,1290,2,3,1.19,16,0
104371,1463,1.5,3,0.42,125,0
104412,2116,2,4,0.05,74,0
104412,1480,1.5,2,0.17,15,1
104556,1673,2,2,0.15,18,0
104556,1673,2,2,0.15,18,0
104651,912,1.5,2,0.17,19,1
104749,1852,1,4,0.1,147,0
104984,1096,1,3,0.3,67,0
104984,1144,1.5,3,0.52,44,1
104984,1184,2,3,0.16,21,0
105035,908,1,2,0.17,21,0
105363,864,1,3,1,128,0
105363,1100,1,3,0.2,93,1
105843,972,1,3,0.36,40,0
106117,1480,1.5,3,0.08,21,0
106365,1184,2,3,0.15,20,1
106524,1308,1,2,1.35,17,0
106524,1144,1,2,0.18,16,1
106524,1148,1,3,0.35,7,0
106659,936,1,3,0.4,34,0
106950,1472,1,3,0.93,28,1
107049,1592,2,3,0.16,16,0
107306,1276,2,3,4.67,29,0
107411,840,1,2,0.21,2,0
107513,1008,1,3,0.22,38,0
107695,1802,2,4,0.97,56,1
107743,1228,1.5,3,0.21,21,0
107743,1184,1.5,2,0.16,18,0
107766,1272,1,3,0.38,43,1
107892,1375,1.5,2,0.2,20,1
107912,1308,1,3,0.46,26,0
107919,1056,2,2,0.52,7,0
107973,1388,1,3,0.23,60,0
108002,1544,2,3,0.4,72,0
108421,1288,1,3,0.34,32,0
108459,1292,1.5,3,0.34,25,0
108478,1840,1,3,0.14,8,0
108593,1480,1.5,3,0.08,19,0
108785,1480,1.5,3,0.07,22,0
108794,1464,1,2,0.11,87,0
108958,1514,1.5,3,0.17,19,0
109040,1198,1,2,0.37,13,0
109042,880,1,3,0.34,56,0
109249,812,1,2,0.1,115,0
109259,1239,1,3,0.37,33,1
109577,1456,1.5,3,0.15,155,0
109578,1342,1,2,0.57,41,1
109578,1176,2,3,0.64,5,0
109633,775,1,2,0.46,47,0
109999,1218,1.5,3,1.43,0,1
110115,1385,1.5,2,0.16,17,1
110182,1480,1.5,3,0.29,20,1
110234,1652,1.5,3,0.38,105,1
110738,1800,1.5,3,0.36,83,0
110770,911,1,2,0.12,114,0
110889,1266,1,3,0.03,134,1
110963,1888,1,3,0.47,18,1
110963,1568,1.5,3,0.05,18,0
111221,1056,1,3,0.81,27,0
111239,912,1.5,2,0.16,20,0
111264,1142,1.5,3,0.19,18,0
111353,1248,1.5,3,1.28,0,0
111394,1272,1.5,3,0.34,1,0
111436,1380,1.5,3,0.14,2,0
111534,1032,1,3,0.75,4,0
111546,1560,1,3,0.3,31,0
111633,1564,1,3,0.32,54,1
111702,878,1,2,0.14,28,0
111809,1711,1,3,0.45,112,0
111875,1758,2,3,0.3,25,0
112153,1834,2,4,0.43,65,0
112153,1270,1.5,3,0.09,18,1
112400,1375,1.5,2,0.06,20,1
112509,1138,1,3,0.14,98,0
112649,1350,1.5,3,0.46,26,0
112825,1314,1.5,2,0.06,20,1
112877,1380,1,3,0.14,3,0
113367,1760,1.5,4,0.27,133,1
113371,1177,1.5,3,0.17,36,0
113444,1656,1,3,0.1,94,0
113514,1142,2,2,0.76,40,1
113600,1240,2,3,0.16,18,0
113740,1920,1,3,0.27,34,1
113796,960,1,3,0.36,40,0
114070,1098,1,2,0.1,113,0
114238,1164,2,3,0.64,7,0
114326,1053,1,3,1,41,1
114513,960,2,2,0.63,11,0
114513,1560,1.5,3,1.59,5,0
114514,1514,2,3,0.16,17,0
114519,1428,2,3,0.16,85,0
114590,1736,2,3,0.38,37,1
114827,1332,1,3,0.02,45,1
115248,1700,2,2,0.69,15,0
115312,912,1,2,0.46,14,0
115401,1480,1.5,3,0.18,18,0
115566,1184,2,3,0.15,17,0
115649,1422,1.5,3,0.23,20,0
115659,1242,2,3,0.72,30,1
115771,1479,1.5,3,0.06,17,0
116170,1272,1,3,0.26,31,0
116289,1107,1,3,0.46,43,1
116321,1486,1.5,3,0.1,16,0
116589,1322,1,3,0.67,63,0
116589,1184,2,3,0.16,18,0
116795,1404,1.5,3,0.48,28,1
116862,1456,1,4,0.4,54,1
116882,1542,2.5,3,0.25,10,0
116938,988,1,3,0.26,10,0
117164,1536,1,2,2.84,55,1
117287,1040,1,3,1.08,39,0
117703,1492,2.5,3,0.17,17,1
117907,1295,1.5,3,0.13,125,0
118007,1694,2,3,0.96,15,1
118409,1227,2,2,0.12,19,1
118409,2128,2,4,1,7,0
118468,1298,1,3,0.17,44,1
118517,1592,1.5,3,0.17,18,0
118585,936,1,3,0.24,35,0
118949,1164,2,3,0.52,5,0
118952,1572,1.5,3,1.61,16,0
119001,1506,1.5,3,0.46,24,1
119166,912,1,2,0.11,68,0
119389,1364,1.5,2,0.07,20,1
119751,1480,1.5,3,0.11,17,0
119784,1560,1,2,0.36,25,0
119840,1411,1,3,0.38,48,1
119858,1476,1.5,3,0.22,24,1
119875,1512,1.5,4,1,61,1
119937,2028,2,3,0.5,27,1
120115,967,2,4,1.2,55,0
120192,1404,2,3,6.13,7,0
120279,1056,1,2,0.34,5,0
120476,2238,1.5,3,0.21,114,1
120476,1248,2,3,1,14,0
120476,1120,2,3,0.73,7,0
120639,1498,1.5,2,0.18,0,1
120639,1498,1.5,2,0.18,0,1
121279,1348,2.5,2,0,18,1
121680,1412,1.5,3,0.35,103,0
121798,1308,1,3,0.46,29,0
121973,2268,1,3,3,25,0
122044,1637,1.5,3,0.76,54,0
122082,2256,1.5,4,0.17,124,0
122221,1440,1,3,2.12,32,1
122221,1170,1.5,4,3,26,0
122229,1404,2,3,0.68,72,0
122257,1856,1.5,3,0.6,36,1
122257,1400,1.5,3,1,17,0
122796,1612,1,3,0.29,34,1
123064,1209,1,2,0.19,73,0
123266,1632,1.5,3,0.23,14,0
123757,1416,1.5,3,1.94,5,0
123827,1302,2,3,0.25,35,0
123834,1092,1,5,0.33,72,0
123910,1620,2.5,3,0.86,1,1
124013,1524,1.5,3,0.71,180,0
124367,1272,1.5,3,0.34,1,0
124492,1164,2,3,0.34,8,0
124585,1468,1,4,0.34,51,0
124669,1092,1.5,3,0.35,35,0
124939,1099,1,2,0.39,9,0
124939,1678,2.5,3,0.27,1,1
125029,1836,2,3,0.35,27,0
125361,1326,1.5,2,0.06,19,1
125361,1173,1,3,0.45,16,1
125562,1253,1.5,2,0.21,16,1
125920,1605,2.5,3,0.15,0,1
126010,1760,1,4,0.52,37,1
126010,864,1.5,3,0.16,37,0
126049,1268,1,3,0.56,25,1
126082,1592,1.5,3,0.16,18,1
126082,1592,1.5,3,0.16,18,1
126311,1370,1,3,0.45,27,1
126311,1471,2.5,3,0.08,4,0
126436,1216,1,3,0.49,51,1
126498,720,1,3,1,113,0
127055,1019,1.5,2,0.24,16,0
127303,1210,1,2,0.7,17,1
127385,1416,1.5,3,0.37,11,0
127394,2040,2.5,5,0.07,127,0
127740,1480,2.5,3,0.03,16,1
128040,1688,1,3,0.03,29,1
128040,1488,2.5,3,2.15,1,1
128273,1343,2.5,2,0.12,15,1
128434,1508,1.5,3,0.31,19,1
128440,1554,1.5,3,4.87,103,0
128717,1215,1.5,3,0.23,41,0
129155,1260,1.5,2,0.06,27,1
129155,1242,2,2,0.13,3,1
129427,1512,2,3,0.46,16,0
129470,2088,1,3,1.84,29,1
129609,1635,1.5,4,0.28,52,0
129723,1593,1,3,1.8,63,1
129868,1792,2.5,2,0.08,24,1
130229,1248,2,3,0.35,11,0
130239,1586,1.5,3,0.6,49,1
130239,1052,1.5,2,0.23,15,1
130490,1595,2,3,0.22,6,1
130518,1200,1.5,3,0.32,1,0
130574,1600,1,3,0.27,57,0
130650,2110,2,3,0.92,52,1
130757,1394,1,4,0.46,33,0
130782,1274,1.5,3,0.44,14,0
130917,1456,1,3,0.49,23,1
131165,1564,2,3,0.24,13,0
131411,1512,1.5,3,0.05,13,1
132088,1368,1,3,0.24,33,0
132138,1468,1.5,2,1.11,161,1
132311,1512,1.5,3,0.25,13,1
133067,1326,2,4,0.46,7,0
133155,1480,2.5,3,0.03,16,1
133155,1334,1.5,3,0.77,7,0
133199,1716,2,4,0.69,4,1
133215,1364,1.5,2,0.14,19,1
133595,1666,2.5,3,0.2,1,1
133612,1768,1.5,4,0.37,48,1
133688,1780,2.5,2,0.1,25,0
134171,2133,1.5,4,0.28,34,1
134266,1501,2,3,0.4,44,1
134378,1279,1,3,0.28,31,0
134865,1500,1.5,3,0.49,31,1
134865,1676,1.5,3,0.38,14,1
134933,1496,1,3,0.25,37,1
135011,1327,2,2,0.67,35,1
135011,2488,2,3,0.41,24,1
135167,1610,2,3,0.1,17,0
135526,1952,2.5,4,0.55,31,1
135526,1420,1.5,3,0.35,13,0
135708,1460,2,2,0.18,17,0
135820,1475,2,3,0.46,20,1
135823,1946,1.5,4,0.38,18,0
135901,1508,1.5,3,0.34,21,0
136192,1623,1.5,4,0.44,36,1
136203,1479,1.5,2,0.06,20,1
136379,1486,2.5,3,0.38,0,0
136499,1152,1,3,0.8,36,0
136551,1880,2,3,0.62,7,0
137044,1352,1.5,2,0.18,11,0
137127,1892,2,3,0.25,26,1
137220,1290,1.5,3,0.14,16,1
137309,1092,1.5,3,0.35,33,0
137508,1164,1,3,2,54,1
137508,1530,2,3,0.48,20,1
137540,1551,1,4,1.95,97,0
137606,1508,1.5,3,0.34,19,0
137681,1728,1.5,4,1.84,12,0
138297,1800,1,2,0.48,49,1
138424,1673,1,3,0.29,27,1
138914,1576,1.5,3,0.19,18,0
139079,1608,1,3,0.44,63,1
139079,1248,2,3,0.75,37,0
139079,1400,1.5,3,1,35,1
139079,1719,1.5,3,0.53,25,1
139104,1760,3,4,0.16,135,0
139219,2308,3,2,0.45,5,0
139418,1296,2,4,0.38,51,1
139435,1666,2.5,3,0.19,0,0
139627,1980,1,4,7.16,205,0
139800,1900,1.5,3,0.37,12,1
140238,1322,1,3,1,130,0
140269,1244,1.5,2,0.28,13,1
140510,1590,2.5,3,0.42,0,1
140602,1693,1.5,3,0.37,26,1
140658,2254,1.5,4,0.43,31,1
140701,1554,2,2,0.53,20,1
140765,1596,1.5,3,0.28,49,0
140945,1873,2.5,4,0.29,32,1
141029,1874,2.5,3,0.54,31,1
141760,1740,1.5,3,0.53,36,0
142057,952,1,3,0.13,102,0
142212,1982,1,3,2,133,0
142302,1242,2,2,0.12,2,1
142420,2016,1.5,3,0.86,16,0
142907,1920,2,3,0.59,31,1
143210,1744,1.5,4,0.57,35,1
143252,1568,1.5,3,0.16,18,0
143294,1360,1,4,0.92,53,0
143294,1918,2,3,0.3,29,1
143697,1376,1.5,3,0.53,14,1
143768,1612,1.5,3,0.43,37,1
143808,1572,1.5,3,0.46,7,0
144335,1274,2,3,0.48,20,1
144561,1292,2,3,0.22,4,1
144571,1512,1.5,3,0.05,13,1
144695,1642,2,3,0.4,11,1
145123,1372,1.5,3,0.69,26,0
145123,1536,2,3,0.98,6,0
145147,1832,2,4,0.52,47,1
145583,1376,2,3,0.46,25,1
145663,1666,2.5,3,0.2,1,1
146161,984,1,3,0.3,41,1
146329,2026,2.5,4,1,1,1
146471,892,1,2,0.29,113,0
146609,1989,1.5,4,0.39,104,1
146611,1580,1.5,5,1,26,0
146611,1056,1,2,9,5,0
146626,1561,1.5,3,0.33,18,0
146978,1656,1.5,3,0.42,18,1
146981,1832,1.5,3,0.67,30,1
147412,1821,2.5,3,1,0,0
147425,1582,1.5,3,0.35,11,0
147440,1590,2.5,3,0.42,3,0
147517,1680,1,4,0.45,27,0
147625,1668,2,2,0.19,16,0
147634,864,1.5,3,0.16,39,0
148203,1782,1.5,3,0.34,36,0
148231,1475,1.5,3,0.42,21,0
148246,1391,2,3,0.04,12,0
148401,1856,1.5,3,0.6,37,1
148496,1470,1.5,3,0.35,12,0
148585,1734,1.5,4,0.45,34,1
148692,1397,1.5,2,0.76,14,1
148967,1864,1.5,3,4,154,1
148967,2208,2.5,3,0.05,17,1
148989,792,1,3,0.13,36,0
149078,1664,1.5,3,0.46,14,0
149078,1592,1.5,3,0.64,9,1
149756,1470,2.5,3,0.23,11,1
149933,1664,2,3,0.38,25,1
150022,1632,2.5,4,0.5,30,1
150434,1611,2,4,0.17,83,1
150434,1666,1.5,4,0.56,38,0
150502,1668,2,3,0.26,18,1
150505,1785,2.5,3,0.17,1,0
150581,1664,2,3,0.49,33,1
150772,1652,2,3,0.48,20,1
150798,1212,1.5,3,1,6,0
150849,1423,1.5,3,0.34,9,1
150909,1374,1.5,3,0.18,44,0
150909,1512,1.5,3,0.6,7,0
151917,1510,2.5,3,0.39,0,1
151950,1890,2,4,0.69,30,1
151950,1890,2.5,3,0.46,27,0
151950,1792,2,3,0.64,17,1
