Republic,NDTV,TV5,TV9,AajTak,sales
8.7,48.9,4,75,49,7.2
57.5,32.8,65.9,23.5,57.5,11.8
120.2,19.6,7.2,11.6,18.5,13.2
8.6,2.1,46,1,2.6,4.8
199.8,2.6,52.9,21.2,2.9,10.6
66.1,5.8,114,24.2,9.8,8.6
214.7,24,55.8,4,26,17.4
23.8,35.1,18.3,65.9,35.19,9.2
97.5,7.6,19.1,7.2,7.9,9.7
204.1,32.9,53.4,46,42.9,19
195.4,47.7,18.3,52.9,57.7,22.4
67.8,36.6,19.1,114,39.6,12.5
281.4,39.6,53.4,55.8,39.6,24.4
69.2,20.5,23.5,18.3,20.5,11.3
147.3,23.9,49.6,19.1,23.9,14.6
218.4,27.7,26.2,53.4,27.7,18
237.4,5.1,18.3,23.5,5.1,12.5
13.2,15.9,19.5,49.6,15.9,5.6
228.3,16.9,12.6,26.2,16.9,15.5
62.3,12.6,22.9,18.3,12.6,9.7
262.9,3.5,22.9,19.5,3.5,12
142.9,29.3,40.8,12.6,29.3,15
240.1,16.7,43.2,22.9,16.7,15.9
248.8,27.1,38.6,22.9,27.1,18.9
70.6,16,30,40.8,16,10.5
292.9,28.3,0.3,43.2,28.3,21.4
112.9,17.4,7.4,38.6,17.4,11.9
97.2,1.5,8.5,30,1.5,9.6
265.6,20,5,0.3,20,17.4
95.7,1.4,45.7,7.4,1.4,9.5
290.7,4.1,35.1,8.5,4.1,12.8
266.9,43.8,31.6,5,43.8,25.4
74.7,49.4,38.7,45.7,49.4,14.7
43.1,26.7,1.8,35.1,26.7,10.1
228,37.7,26.4,32,37.7,21.5
202.5,22.3,43.3,31.6,22.3,16.6
177,33.4,31.5,38.7,33.4,17.1
293.6,27.7,35.7,1.8,27.7,20.7
206.9,8.4,18.5,26.4,8.4,12.9
25.1,25.7,49.9,43.3,25.7,8.5
175.1,22.5,36.8,31.5,22.5,14.9
89.7,9.9,34.6,35.7,9.9,10.6
239.9,41.5,3.6,18.5,41.5,23.2
227.2,15.8,39.6,49.9,15.8,14.8
66.9,11.7,58.7,36.8,11.7,9.7
210.7,29.5,0.9,9.3,29.5,18.4
53.5,2,2.2,21.4,2,8.1
261.3,42.7,10.2,54.7,42.7,24.2
239.3,15.5,11,27.3,15.5,15.7
102.7,29.6,27.2,8.4,29.6,14
131.1,42.8,38.7,28.9,42.8,18
69,9.3,31.7,0.9,9.3,9.3
31.5,24.6,19.3,2.2,42.9,9.5
139.3,14.5,31.3,10.2,57.7,13.4
237.4,27.5,13.1,11,39.6,18.9
216.8,43.9,89.4,27.2,39.6,22.3
199.1,30.6,32.5,38.7,20.5,18.3
109.8,14.3,35.6,31.7,23.9,12.4
26.8,33,33.8,19.3,27.7,8.8
129.4,5.7,65.7,31.3,5.7,11
213.4,24.6,16,13.1,24.6,17
16.9,43.7,63.2,89.4,43.7,8.7
27.5,1.6,73.4,20.7,1.6,6.9
120.5,28.5,51.4,14.2,28.5,14.2
5.4,29.9,9.3,9.4,29.9,5.3
116,7.7,33,23.1,7.7,11
76.4,26.7,59,22.3,26.7,11.8
239.8,4.1,69.2,36.9,4.1,12.3
75.3,20.3,45.1,32.5,20.3,11.3
68.4,44.5,69.3,35.6,44.5,13.6
213.5,43,58.5,33.8,43,21.7
193.2,18.4,58.4,65.7,18.4,15.2
76.3,27.5,75,16,27.5,12
110.7,40.6,23.5,63.2,40.6,16
88.3,25.5,11.6,73.4,25.5,12.9
109.8,47.8,1,51.4,47.8,16.7
134.3,4.9,21.2,9.3,4.9,11.2
28.6,1.5,24.2,33,1.5,7.3
217.7,33.5,4,59,33.5,19.4
250.9,36.5,65.9,72.3,36.5,22.2
107.4,14,7.2,10.9,14,11.5
163.3,31.6,46,52.9,31.6,16.9
197.6,3.5,52.9,5.9,3.5,11.7
184.9,21,114,22,21,15.5
289.7,42.3,55.8,51.2,42.3,25.4
135.2,41.7,18.3,45.9,41.7,17.2
222.4,4.3,19.1,49.8,4.3,11.7
296.4,36.3,53.4,100.9,36.3,23.8
280.2,10.1,23.5,21.4,10.1,14.8
187.9,17.2,49.6,17.9,17.2,14.7
238.2,34.3,26.2,5.3,34.3,20.7
137.9,46.4,18.3,59,46.4,19.2
25,11,19.5,29.7,11,7.2
90.4,0.3,12.6,23.2,0.3,8.7
13.1,0.4,22.9,25.6,0.4,5.3
255.4,26.9,22.9,5.5,26.9,19.8
225.8,,40.8,56.5,,13.4
241.7,,43.2,23.2,,21.8
175.7,,38.6,2.4,,14.1
209.6,,30,10.7,,15.9
78.2,46.8,0.3,34.5,46.8,14.6
75.1,35,7.4,52.7,35,12.6
139.2,14.3,8.5,25.6,14.3,12.2
76.4,0.8,5,14.8,0.8,9.4
125.7,36.9,45.7,79.2,36.9,15.9
19.4,16,35.1,22.3,16,6.6
141.3,26.8,32,,26.8,15.5
18.8,21.7,31.6,,21.7,7
224,2.4,38.7,,2.4,11.6
123.1,34.6,1.8,,34.6,15.2
229.5,32.3,26.4,,32.3,19.7
87.2,11.8,43.3,,11.8,10.6
7.8,38.9,31.5,,38.9,6.6
80.2,1,35.7,,1,8.8
220.3,49,18.5,3.2,49,24.7
59.6,12,49.9,43.1,12,9.7
0.7,39.6,36.8,8.7,39.6,1.6
265.2,2.9,34.6,43,2.9,12.7
8.4,27.2,3.6,2.1,27.2,5.7
219.8,33.5,39.6,45.1,33.5,19.6
36.9,38.6,58.7,65.6,38.6,10.8
48.3,47,15.9,8.5,47,11.6
25.6,39,60,9.3,39,9.5
273.7,28.9,41.4,59.7,28.9,20.8
43,25.9,16.6,20.5,25.9,9.6
184.9,43.9,37.7,1.7,43.9,20.7
73.4,17,9.3,12.9,17,10.9
193.7,35.4,21.4,75.6,35.4,19.2
220.5,33.2,54.7,37.9,33.2,20.1
104.6,5.7,27.3,34.4,5.7,10.4
96.2,14.8,8.4,38.9,14.8,11.4
140.3,1.9,28.9,9,1.9,10.3
240.1,7.3,0.9,8.7,7.3,13.2
243.2,49,2.2,44.3,49,25.4
38,40.3,10.2,11.9,40.3,10.9
44.7,25.8,11,20.6,25.8,10.1
280.7,13.9,27.2,37,13.9,16.1
121,8.4,38.7,48.7,8.4,11.6
197.6,23.3,31.7,14.2,23.3,16.6
,39.7,19.3,37.7,39.7,19
,21.1,31.3,9.5,21.1,15.6
,11.6,13.1,5.7,11.6,3.2
,43.5,89.4,50.5,43.5,15.3
,1.3,20.7,24.3,1.3,10.1
,36.9,14.2,45.2,36.9,7.3
,18.4,9.4,34.6,18.4,12.9
,18.1,23.1,30.7,18.1,14.4
,35.8,22.3,49.3,35.8,13.3
,18.1,36.9,25.6,18.1,14.9
163.5,36.8,32.5,7.4,36.8,18
117.2,14.7,35.6,5.4,14.7,11.9
234.5,3.4,33.8,84.8,3.4,11.9
17.9,37.6,5.7,21.6,37.6,8
206.8,5.2,50.5,19.4,5.2,12.2
215.4,23.6,24.3,57.6,23.6,17.1
284.3,10.6,45.2,6.4,10.6,15
50,11.6,34.6,18.4,11.6,8.4
164.5,20.9,30.7,47.4,20.9,14.5
19.6,20.1,49.3,17,20.1,7.6
168.4,7.1,25.6,12.8,7.1,11.7
222.4,3.4,7.4,13.1,3.4,11.5
276.9,48.9,5.4,41.8,48.9,27
248.4,30.2,84.8,20.3,30.2,20.2
170.2,7.8,21.6,35.2,7.8,11.7
276.7,2.3,19.4,23.7,2.3,11.8
165.6,10,57.6,17.6,10,12.6
156.6,2.6,6.4,8.3,2.6,10.5
218.5,5.4,18.4,27.4,5.4,12.2
56.2,5.7,47.4,29.7,5.7,8.7
287.6,43,17,71.8,43,26.2
253.8,21.3,12.8,30,21.3,17.6
205,45.1,13.1,19.6,45.1,22.6
139.5,2.1,41.8,26.6,2.1,10.3
191.1,28.7,20.3,18.2,28.7,17.3
286,13.9,35.2,3.7,13.9,15.9
18.7,12.1,23.7,23.4,12.1,6.7
39.5,41.1,17.6,5.8,41.1,10.8
75.5,10.8,8.3,6,10.8,9.9
17.2,4.1,30,31.6,4.1,5.9
166.8,42,19.6,3.6,42,19.6
149.7,35.6,26.6,6,35.6,17.3
38.2,3.7,18.2,13.8,3.7,7.6
94.2,4.9,3.7,8.1,4.9,9.7
177,9.3,23.4,6.4,9.3,12.8
283.6,42,5.8,66.2,42,25.5
232.1,8.6,6,8.7,8.6,13.4
134.3,4.9,21.2,9.3,4.9,11.2
28.6,1.5,24.2,33,1.5,7.3
217.7,33.5,4,59,33.5,19.4
250.9,36.5,65.9,72.3,36.5,22.2
107.4,14,7.2,10.9,14,11.5
163.3,31.6,46,52.9,31.6,16.9
197.6,3.5,52.9,5.9,3.5,11.7
184.9,21,114,22,21,15.5
289.7,42.3,55.8,51.2,42.3,25.4
135.2,41.7,18.3,45.9,41.7,17.2
222.4,4.3,19.1,49.8,4.3,11.7
296.4,36.3,53.4,100.9,36.3,23.8
280.2,10.1,23.5,21.4,10.1,14.8
187.9,17.2,49.6,17.9,17.2,14.7
238.2,34.3,26.2,5.3,34.3,20.7
137.9,46.4,18.3,59,46.4,19.2
25,11,19.5,29.7,11,7.2
90.4,0.3,12.6,23.2,0.3,8.7
13.1,0.4,22.9,25.6,0.4,5.3
255.4,26.9,22.9,5.5,26.9,19.8
225.8,8.2,40.8,56.5,8.2,13.4
241.7,38,43.2,23.2,38,21.8
175.7,15.4,38.6,2.4,15.4,14.1
209.6,20.6,30,10.7,20.6,15.9
78.2,46.8,0.3,34.5,46.8,14.6
75.1,35,7.4,52.7,35,12.6
139.2,14.3,8.5,25.6,14.3,12.2
76.4,0.8,5,14.8,0.8,9.4
125.7,36.9,45.7,79.2,36.9,15.9
19.4,16,35.1,22.3,16,6.6
141.3,26.8,32,46.2,26.8,15.5
18.8,21.7,31.6,50.4,21.7,7
224,2.4,38.7,15.6,2.4,11.6
123.1,34.6,1.8,12.4,34.6,15.2
229.5,32.3,26.4,74.2,32.3,19.7
87.2,11.8,43.3,25.9,11.8,10.6
7.8,38.9,31.5,50.6,38.9,6.6
80.2,,35.7,9.2,,8.8
220.3,49,18.5,3.2,49,24.7
59.6,12,49.9,43.1,12,9.7
0.7,39.6,36.8,8.7,39.6,1.6
265.2,2.9,34.6,43,2.9,12.7
8.4,27.2,3.6,2.1,27.2,5.7
219.8,33.5,39.6,45.1,33.5,19.6
36.9,38.6,58.7,65.6,38.6,10.8
48.3,47,15.9,8.5,47,11.6
25.6,39,60,9.3,39,9.5
273.7,28.9,41.4,59.7,28.9,20.8
43,25.9,16.6,20.5,25.9,9.6
184.9,43.9,37.7,1.7,43.9,20.7
73.4,17,9.3,12.9,17,10.9
193.7,35.4,21.4,75.6,18.7,19.2
220.5,33.2,54.7,37.9,39.5,20.1
104.6,5.7,27.3,34.4,75.5,10.4
96.2,14.8,8.4,38.9,17.2,11.4
140.3,1.9,28.9,9,1.9,10.3
240.1,7.3,0.9,8.7,7.3,13.2
243.2,49,2.2,44.3,49,25.4
38,40.3,10.2,11.9,40.3,10.9
44.7,25.8,11,20.6,25.8,10.1
280.7,13.9,27.2,37,13.9,16.1
121,8.4,38.7,48.7,8.4,11.6
197.6,23.3,31.7,14.2,23.3,16.6
171.3,39.7,19.3,37.7,39.7,19
187.8,21.1,31.3,9.5,21.1,15.6
4.1,11.6,13.1,5.7,11.6,3.2
93.9,43.5,89.4,50.5,43.5,15.3
149.8,1.3,20.7,24.3,1.3,10.1
11.7,36.9,14.2,45.2,36.9,7.3
131.7,18.4,9.4,34.6,18.4,12.9
172.5,18.1,23.1,30.7,18.1,14.4
85.7,35.8,22.3,49.3,35.8,13.3
188.4,18.1,36.9,25.6,18.1,14.9
163.5,36.8,32.5,7.4,36.8,18
117.2,14.7,35.6,5.4,14.7,11.9
234.5,3.4,33.8,84.8,3.4,11.9
17.9,37.6,5.7,21.6,37.6,8
206.8,5.2,50.5,19.4,5.2,12.2
215.4,23.6,24.3,57.6,23.6,17.1
284.3,10.6,45.2,6.4,10.6,15
50,11.6,34.6,18.4,11.6,8.4
164.5,20.9,30.7,47.4,20.9,14.5
19.6,20.1,49.3,17,20.1,7.6
168.4,7.1,25.6,12.8,7.1,11.7
222.4,3.4,7.4,13.1,3.4,11.5
276.9,48.9,5.4,41.8,48.9,27
248.4,30.2,84.8,20.3,30.2,20.2
170.2,7.8,21.6,35.2,7.8,11.7
276.7,2.3,19.4,23.7,2.3,11.8
165.6,10,57.6,17.6,10,12.6
156.6,2.6,6.4,8.3,2.6,10.5
218.5,5.4,18.4,27.4,5.4,12.2
56.2,5.7,47.4,29.7,5.7,8.7
287.6,43,17,71.8,43,26.2
253.8,21.3,12.8,30,21.3,17.6
205,45.1,13.1,19.6,45.1,22.6
139.5,2.1,41.8,26.6,2.1,10.3
191.1,28.7,20.3,18.2,28.7,17.3
286,13.9,35.2,3.7,13.9,15.9
18.7,12.1,23.7,23.4,12.1,6.7
39.5,41.1,17.6,5.8,41.1,10.8
75.5,10.8,8.3,6,10.8,9.9
17.2,4.1,30,31.6,4.1,5.9
166.8,42,19.6,3.6,42,19.6
149.7,35.6,26.6,6,35.6,17.3
38.2,3.7,18.2,13.8,18.7,7.6
94.2,4.9,3.7,8.1,39.5,9.7
177,9.3,23.4,6.4,75.5,12.8
283.6,42,5.8,66.2,17.2,25.5
232.1,8.6,6,8.7,8.6,13.4
253.8,21.3,12.8,30,21.3,17.6
205,45.1,13.1,19.6,45.1,22.6
139.5,2.1,41.8,26.6,2.1,10.3
191.1,28.7,20.3,18.2,28.7,17.3
286,13.9,35.2,3.7,13.9,15.9
18.7,12.1,23.7,23.4,18.7,6.7
39.5,41.1,17.6,5.8,39.5,10.8
75.5,10.8,8.3,6,75.5,9.9
17.2,4.1,30,31.6,17.2,5.9
